
> logs\peticionamento.txt:1346:2025-05-15 07:06:26,011 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'data_aviso_base_calculo'
  logs\peticionamento.txt:1347:2025-05-15 07:06:26,011 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:1348:2025-05-15 07:06:26,012 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 5 runs
  logs\peticionamento.txt:1685:2025-05-15 07:06:26,087 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [1]
  logs\peticionamento.txt:1686:2025-05-15 07:06:26,087 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(61, 95)]
> logs\peticionamento.txt:1687:2025-05-15 07:06:26,088 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'texto_personalizado_data_aviso'
  logs\peticionamento.txt:1688:2025-05-15 07:06:26,088 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:1689:2025-05-15 07:06:26,088 | DEBUG    | peticionamento | logger         .debug                | L141  | Placeholder fragmentado encontrado: '{{cargo_funcao}}' (campo: 'cargo_funcao')
  logs\peticionamento.txt:1740:2025-05-15 07:06:26,097 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [7]
  logs\peticionamento.txt:1741:2025-05-15 07:06:26,097 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(18, 72)]
> logs\peticionamento.txt:1742:2025-05-15 07:06:26,098 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'temas_com_reflexo_atualizada_decimo_terceiro_anual'
  logs\peticionamento.txt:1743:2025-05-15 07:06:26,098 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
  logs\peticionamento.txt:1744:2025-05-15 07:06:26,099 | DEBUG    | peticionamento | logger         .debug                | L141  | Verificando fragmentação em parágrafo com 1 runs
  logs\peticionamento.txt:1761:2025-05-15 07:06:26,102 | DEBUG    | peticionamento | logger         .debug                | L141  | Runs afetadas: [0]
  logs\peticionamento.txt:1762:2025-05-15 07:06:26,102 | DEBUG    | peticionamento | logger         .debug                | L141  | Índices em runs: [(50, 95)]
> logs\peticionamento.txt:1763:2025-05-15 07:06:26,104 | WARNING  | peticionamento | logger         .warning              | L143  | Campo obrigatório ausente: 'meses_ano_termino_topicos_decimo_terceiro'
  logs\peticionamento.txt:1764:2025-05-15 07:06:26,104 | DEBUG    | peticionamento | logger         .debug                | L141  | Substituindo campo ausente em 1 runs
